title,company,location,link
Ведущий бизнес-аналитик (отдел экономического анализа и контроля),Delko,Казань,https://hh.ru/vacancy/40617774?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (стратегическое планирование),"Ярмарка, торговый дом",Москва,https://hh.ru/vacancy/41020588?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик 1С,ООО РАЦИОНАЛЬ,"Москва, Семеновская",https://hh.ru/vacancy/41815884?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (проект 'Государственные продукты и сервисы'),Сбер для экспертов,Санкт-Петербург,https://hh.ru/vacancy/42032375?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Младший бизнес-аналитик,ООО Бизнес Технологии,Санкт-Петербург,https://hh.ru/vacancy/41426216?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик бизнес-процессов (удаленно),Юниты,Москва,https://hh.ru/vacancy/41697515?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (BI Specialist),ManpowerGroup,"Москва, Крылатское",https://hh.ru/vacancy/42200717?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Uchi.ru,"Москва, Улица 1905 года",https://hh.ru/vacancy/42100456?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (финансовая дирекция),ПАО ТАТТЕЛЕКОМ,Казань,https://hh.ru/vacancy/42201541?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик СЭД Directum (удалённо),ООО Центр внедрения документооборота,Москва,https://hh.ru/vacancy/41979416?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
